9;TIT09;9212;1;10;0;0;;False;0;0;;False;0;0;;0;0;
0;DIV05;9212;;;0;0;;False;0;0;;False;1;0;9212;0;0;
9;TIT01;10;;;0;0;;False;0;0;;False;0;0;;0;0;
5;WRI00;;;;0;0;;False;0;0;;False;0;0;139;0;0;
5;WRI00;;;;0;0;;False;0;0;;False;1;0;1;0;0;
2;DRA02;;;;0;0;;False;0;0;;False;1;-2;;1;0;
6;ADD01;9;1;10;0;0;9;False;1;0;1;False;0;0;;0;0;
3;WRI02;0;1;;0;0;;False;0;0;;False;2;0;0;0;0;
6;ADD01;3;1;4;0;-1;3;False;0;0;;False;0;0;;0;0;
3;WRI03;4;0;;0;0;;False;0;0;;False;2;-1;4;0;0;
3;WRI04;1;;;0;-2;1;False;0;0;;False;2;-2;1;0;0;
